question,body,A,B,C,D,E,year,question_number,test,answer,language
QUESTÃO 136,"Os congestionamentos de trânsito constituem um problema que aflige, todos os dias, milhares de motoristas brasileiros. O gráﬁco ilustra a situação, representando, ao longo de um intervalo deﬁnido de tempo, a variação da velocidade de um veículo durante um congestionamento. Descrição do gráfico: Gráﬁco de linha com o eixo horizontal deﬁnido pelo tempo (minuto), de zero a dez, e o eixo vertical deﬁnido pela velocidade. A variação da velocidade é descrita nos seguintes intervalos: • De zero a um, a velocidade permanece constante acima de zero; • de um a dois, a velocidade aumenta, atingindo o seu ponto mais alto; • de dois a três, a velocidade diminui, mantendo-se acima da velocidade inicial; • de três a quatro, a velocidade permanece constante, acima da velocidade inicial; • de quatro a cinco, a velocidade aumenta, abaixo do ponto mais alto; • de cinco a seis, a velocidade diminui até zero; • de seis a oito, a velocidade permanece constante em zero; • e de oito a dez, a velocidade volta a aumentar, abaixo do ponto mais alto. Quantos minutos o veículo permaneceu imóvel ao longo do intervalo de tempo total analisado?",4,3,2,1,0,2017,136,MT,C,portuguese
QUESTÃO 137,"Um garçom precisa escolher uma bandeja de base retangular para servir quatro taças de espumante que precisam ser dispostas em uma única ﬁleira, paralela ao lado maior da bandeja, e com suas bases totalmente apoiadas na bandeja. A base e a borda superior das taças são círculos de raio 4 centímetros e 5 centímetros , respectivamente. A bandeja a ser escolhida deverá ter uma área mínima, em centímetro quadrado, igual a",192.,300.,304.,320.,400.,2017,137,MT,C,portuguese
QUESTÃO 138,"Em uma cantina, o sucesso de venda no verão são sucos preparados à base de polpa de frutas. Um dos sucos mais vendidos é o de morango com acerola, que é preparado com dois terços de polpa de morango e um terço de polpa de acerola. Para o comerciante, as polpas são vendidas em embalagens de igual volume. Atualmente, a embalagem da polpa de morango custa R$ 18,00 e a de acerola, R$ 14,70. Porém, está prevista uma alta no preço da embalagem da polpa de acerola no próximo mês, passando a custar R$ 15,30. Para não aumentar o preço do suco, o comerciante negociou com o fornecedor uma redução no preço da embalagem da polpa de morango. A redução, em real, no preço da embalagem da polpa de morango deverá ser de","1,20.","0,90.","0,60.","0,40.","0,30.",2017,138,MT,E,portuguese
QUESTÃO 139,"Um casal realiza sua mudança de domicílio e necessita colocar numa caixa de papelão um objeto cúbico, de 80 centímetros de aresta, que não pode ser desmontado. Eles têm à disposição cinco caixas, com diferentes dimensões, conforme descrito: • Caixa 1: 86 centímetros por 86 centímetros por 86 centímetros • Caixa 2: 75 centímetros por 82 centímetros por 90 centímetros • Caixa 3: 85 centímetros por 82 centímetros por 90 centímetros • Caixa 4: 82 centímetros por 95 centímetros por 82 centímetros • Caixa 5: 80 centímetros por 95 centímetros por 85 centímetros O casal precisa escolher uma caixa na qual o objeto caiba, de modo que sobre o menor espaço livre em seu interior.A caixa escolhida pelo casal deve ser a de número",1.,2.,3.,4.,5.,2017,139,MT,C,portuguese
QUESTÃO 140,"Uma empresa construirá sua página na internet e espera atrair um público de aproximadamente um milhão de clientes. Para acessar essa página, será necessária uma senha com formato a ser deﬁnido pela empresa. Existem cinco opções de formato oferecidas pelo programador, descritas no quadro, em que “L” e “D” representam, respectivamente, letra maiúscula e dígito. Descrição do quadro: O quadro apresenta cinco opções e um formato para cada uma delas. Opção I: Formato: LDDDDD; Opção II: Formato: DDDDDD; Opção III: Formato: LLDDDD; Opção IV: Formato: DDDDD; Opção V: Formato: LLLDD. As letras do alfabeto, entre as 26 possíveis, bem como os dígitos, entre os 10 possíveis, podem se repetir em qualquer das opções. A empresa quer escolher uma opção de formato cujo número de senhas distintas possíveis seja superior ao número esperado de clientes, mas que esse número não seja superior ao dobro do número esperado de clientes. A opção que mais se adequa às condições da empresa é",I.,II.,III.,IV.,V.,2017,140,MT,E,portuguese
QUESTÃO 141,"Como não são adeptos da prática de esportes, um grupo de amigos resolveu fazer um torneio de futebol utilizando videogame . Decidiram que cada jogador joga uma única vez com cada um dos outros jogadores. O campeão será aquele que conseguir o maior número de pontos. Observaram que o número de partidas jogadas depende do número de jogadores, como mostra o quadro: Descrição do quadro: Quadro que apresenta a relação da quantidade de jogadores com o número de partidas, sendo:Quantidade de jogadores: 02; número de partidas: 01.Quantidade de jogadores: 03; número de partidas: 03.Quantidade de jogadores: 04; número de partidas: 06.Quantidade de jogadores: 05; número de partidas: 10.Quantidade de jogadores: 06; número de partidas: 15.Quantidade de jogadores: 07; número de partidas: 21. Se a quantidade de jogadores for 8, quantas partidas serão realizadas?",64,56,49,36,28,2017,141,MT,E,portuguese
QUESTÃO 142,"Um morador de uma região metropolitana tem 50 por cento de probabilidade de atrasar-se para o trabalho quando chove na região; caso não chova, sua probabilidade de atraso é de 25 por cento . Para um determinado dia, o serviço de meteorologia estima em 30 por cento a probabilidade da ocorrência de chuva nessa região. Qual é a probabilidade de esse morador se atrasar para o serviço no dia para o qual foi dada a estimativa de chuva?","0,075","0,150","0,325","0,600","0,800",2017,142,MT,C,portuguese
QUESTÃO 143,"Às 17 horas 15 minutos começa uma forte chuva, que cai com intensidade constante. Uma piscina em forma de um paralelepípedo retângulo, que se encontrava inicialmente vazia, começa a acumular a água da chuva e, às 18 horas, o nível da água em seu interior alcança 20 centímetros de altura. Nesse instante, é aberto o registro que libera o escoamento da água por um ralo localizado no fundo dessa piscina, cuja vazão é constante. Às 18 horas 40 minutos a chuva cessa e, nesse exato instante, o nível da água na piscina baixou para 15 centímetros . O instante em que a água dessa piscina terminar de escoar completamente está compreendido entre",19 horas 30 minutos e 20 horas 10 minutos .,19 horas 20 minutos e 19 horas 30 minutos .,19 horas 10 minutos e 19 horas 20 minutos .,19 horas e 19 horas 10 minutos .,18 horas 40 minutos e 19 horas .,2017,143,MT,D,portuguese
QUESTÃO 144,"Um empréstimo foi feito à taxa mensal de i por cento , usando juros compostos, em oito parcelas ﬁxas e iguais a P . O devedor tem a possibilidade de quitar a dívida antecipadamente a qualquer momento, pagando para isso o valor atual das parcelas ainda a pagar. Após pagar a quinta parcela, resolve quitar a dívida no ato de pagar a sexta parcela. A expressão que corresponde ao valor total pago pela quitação do empréstimo é","P vezes, abre colchete, 1; mais fração com numerador 1, sobre denominador, abre parêntese, 1 mais fração com numerador i sobre denominador 100, fecha parêntese; mais fração de numerador 1 sobre denominador, abre parêntese, 1 mais fração de numerador i sobre denominador 100, fecha parêntese, elevado ao quadrado; fecha colchete.","P vezes, abre colchete, 1; mais fração com numerador 1, sobre denominador, abre parêntese, 1 mais fração com numerador i sobre denominador 100, fecha parêntese; mais fração de numerador 1 sobre denominador, abre parêntese, 1 mais fração de numerador 2i sobre denominador 100, fecha parêntese; fecha colchete.","P vezes, abre colchete, 1; mais fração com numerador 1, sobre denominador, abre parêntese, 1 mais fração com numerador i sobre denominador 100, fecha parêntese, elevado ao quadrado; mais fração de numerador 1 sobre denominador, abre parêntese, 1 mais fração de numerador i sobre denominador 100, fecha parêntese, elevado ao quadrado; fecha colchete.","P vezes, abre colchete, fração com numerador 1, sobre denominador, abre parêntese, 1 mais fração com numerador i sobre denominador 100, fecha parêntese; mais fração de numerador 1 sobre denominador, abre parêntese 1 mais fração de numerador 2i sobre denominador 100, fecha parêntese; mais fração com numerador 1, sobre denominador, abre parêntese, 1 mais fração com numerador 3i sobre denominador 100, fecha parêntese; fecha colchete.","P vezes, abre colchete, fração com numerador 1, sobre denominador, abre parêntese, 1 mais fração com numerador i sobre denominador 100, fecha parêntese; mais fração de numerador 1 sobre denominador, abre parêntese, 1 mais fração de numerador i sobre denominador 100, fecha parêntese, elevado ao quadrado; mais fração com numerador 1, sobre denominador, abre parêntese, 1 mais fração com numerador i sobre denominador 100, fecha parêntese, elevado ao cubo; fecha colchete.",2017,144,MT,A,portuguese
QUESTÃO 145,"Para realizar a viagem dos sonhos, uma pessoa precisava fazer um empréstimo no valor de R$ 5 000,00. Para pagar as prestações, dispõe de, no máximo, R$ 400,00 mensais. Para esse valor de empréstimo, o valor da prestação ( P ) é calculado em função do número de prestações ( n ) segundo a fórmula P é igual a fração: no numerador 5 000 vezes abre parêntese 1,013 elevado a n fecha parêntese vezes 0,013, no denominador abre parêntese 1,013 elevado a n fecha parêntese menos 1. Se necessário, utilize 0,005 como aproximação para log 1,013; 2,602 como aproximação para log 400; 2,525 como aproximação para log 335. De acordo com a fórmula dada, o menor número de parcelas cujos valores não comprometem o limite deﬁnido pela pessoa é",12.,14.,15.,16.,17.,2017,145,MT,D,portuguese
