questao,idioma,gabarito,resposta,A,B,C,D,E,NA
46,portuguese,C,C,0.0,0.0,1.0,0.0,0.0,0.0
47,portuguese,B,B,0.009708737864077669,0.9902912621359223,0.0,0.0,0.0,0.0
48,portuguese,E,E,0.05825242718446602,0.0,0.0,0.0,0.941747572815534,0.0
49,portuguese,C,C,0.0,0.0,1.0,0.0,0.0,0.0
50,portuguese,A,A,1.0,0.0,0.0,0.0,0.0,0.0
51,portuguese,B,B,0.0,1.0,0.0,0.0,0.0,0.0
52,portuguese,B,B,0.0,1.0,0.0,0.0,0.0,0.0
53,portuguese,C,C,0.0,0.0,1.0,0.0,0.0,0.0
54,portuguese,D,D,0.1262135922330097,0.0,0.0,0.8737864077669902,0.0,0.0
55,portuguese,E,C,0.1262135922330097,0.0,0.46601941747572817,0.36893203883495146,0.019417475728155338,0.019417475728155338
56,portuguese,A,A,1.0,0.0,0.0,0.0,0.0,0.0
57,portuguese,C,C,0.038834951456310676,0.0,0.9611650485436893,0.0,0.0,0.0
58,portuguese,D,D,0.0,0.0,0.0,1.0,0.0,0.0
59,portuguese,C,C,0.02912621359223301,0.0,0.970873786407767,0.0,0.0,0.0
60,portuguese,E,E,0.0,0.0,0.0,0.0,1.0,0.0
61,portuguese,D,D,0.0,0.0,0.0,1.0,0.0,0.0
62,portuguese,A,A,1.0,0.0,0.0,0.0,0.0,0.0
63,portuguese,A,A,1.0,0.0,0.0,0.0,0.0,0.0
64,portuguese,A,A,0.6310679611650486,0.0,0.0,0.36893203883495146,0.0,0.0
65,portuguese,D,D,0.0,0.0,0.0,1.0,0.0,0.0
66,portuguese,B,B,0.0,1.0,0.0,0.0,0.0,0.0
67,portuguese,C,B,0.21359223300970873,0.7864077669902912,0.0,0.0,0.0,0.0
68,portuguese,D,D,0.0,0.0,0.0,1.0,0.0,0.0
69,portuguese,D,D,0.04854368932038835,0.0,0.0,0.9514563106796117,0.0,0.0
70,portuguese,A,A,0.970873786407767,0.0,0.0,0.0,0.0,0.02912621359223301
71,portuguese,E,E,0.019417475728155338,0.0,0.0,0.0,0.9805825242718447,0.0
72,portuguese,C,C,0.009708737864077669,0.0,0.9902912621359223,0.0,0.0,0.0
73,portuguese,B,B,0.10679611650485436,0.7669902912621359,0.0,0.1262135922330097,0.0,0.0
74,portuguese,A,A,0.9902912621359223,0.0,0.009708737864077669,0.0,0.0,0.0
75,portuguese,B,B,0.0,1.0,0.0,0.0,0.0,0.0
76,portuguese,A,A,1.0,0.0,0.0,0.0,0.0,0.0
77,portuguese,E,E,0.0,0.0,0.0,0.0,1.0,0.0
78,portuguese,C,C,0.0,0.0,1.0,0.0,0.0,0.0
79,portuguese,B,B,0.009708737864077669,0.9902912621359223,0.0,0.0,0.0,0.0
80,portuguese,E,E,0.02912621359223301,0.0,0.0,0.21359223300970873,0.7572815533980582,0.0
81,portuguese,B,B,0.0,1.0,0.0,0.0,0.0,0.0
82,portuguese,A,A,1.0,0.0,0.0,0.0,0.0,0.0
83,portuguese,E,E,0.0,0.0,0.1650485436893204,0.0,0.8349514563106796,0.0
84,portuguese,E,E,0.02912621359223301,0.0,0.0,0.0,0.970873786407767,0.0
85,portuguese,D,D,0.02912621359223301,0.0,0.0,0.970873786407767,0.0,0.0
86,portuguese,A,A,1.0,0.0,0.0,0.0,0.0,0.0
87,portuguese,D,D,0.07766990291262135,0.0,0.0,0.9223300970873787,0.0,0.0
88,portuguese,E,E,0.009708737864077669,0.0,0.0,0.0,0.9902912621359223,0.0
89,portuguese,A,A,1.0,0.0,0.0,0.0,0.0,0.0
90,portuguese,B,B,0.0,1.0,0.0,0.0,0.0,0.0
