questao,idioma,gabarito,resposta,A,B,C,D,E,NA
46,portuguese,C,C,0.0,0.0,1.0,0.0,0.0,0.0
47,portuguese,B,B,0.04716981132075472,0.9528301886792453,0.0,0.0,0.0,0.0
48,portuguese,E,E,0.0,0.0,0.0,0.0,1.0,0.0
49,portuguese,C,C,0.0,0.0,1.0,0.0,0.0,0.0
50,portuguese,A,A,1.0,0.0,0.0,0.0,0.0,0.0
51,portuguese,B,B,0.0,1.0,0.0,0.0,0.0,0.0
52,portuguese,B,B,0.0,1.0,0.0,0.0,0.0,0.0
53,portuguese,C,C,0.0,0.0,1.0,0.0,0.0,0.0
54,portuguese,D,D,0.09433962264150944,0.0,0.0,0.9056603773584906,0.0,0.0
55,portuguese,E,C,0.10377358490566038,0.0,0.44339622641509435,0.37735849056603776,0.0,0.07547169811320754
56,portuguese,A,A,1.0,0.0,0.0,0.0,0.0,0.0
57,portuguese,C,C,0.018867924528301886,0.0,0.9811320754716981,0.0,0.0,0.0
58,portuguese,D,D,0.0,0.0,0.0,1.0,0.0,0.0
59,portuguese,C,C,0.03773584905660377,0.0,0.9622641509433962,0.0,0.0,0.0
60,portuguese,E,E,0.0,0.0,0.0,0.0,1.0,0.0
61,portuguese,D,D,0.0,0.0,0.0,1.0,0.0,0.0
62,portuguese,A,A,1.0,0.0,0.0,0.0,0.0,0.0
63,portuguese,A,A,1.0,0.0,0.0,0.0,0.0,0.0
64,portuguese,A,A,0.6698113207547169,0.0,0.0,0.330188679245283,0.0,0.0
65,portuguese,D,D,0.0,0.0,0.0,1.0,0.0,0.0
66,portuguese,B,B,0.02830188679245283,0.9716981132075472,0.0,0.0,0.0,0.0
67,portuguese,C,B,0.27358490566037735,0.7264150943396226,0.0,0.0,0.0,0.0
68,portuguese,D,D,0.0,0.0,0.0,1.0,0.0,0.0
69,portuguese,D,D,0.03773584905660377,0.0,0.0,0.9622641509433962,0.0,0.0
70,portuguese,A,A,0.9905660377358491,0.0,0.0,0.0,0.0,0.009433962264150943
71,portuguese,E,E,0.0,0.0,0.0,0.0,1.0,0.0
72,portuguese,C,C,0.0,0.0,1.0,0.0,0.0,0.0
73,portuguese,B,B,0.24528301886792453,0.7169811320754716,0.0,0.03773584905660377,0.0,0.0
74,portuguese,A,A,0.9245283018867925,0.0,0.0,0.0,0.07547169811320754,0.0
75,portuguese,B,B,0.0,1.0,0.0,0.0,0.0,0.0
76,portuguese,A,A,1.0,0.0,0.0,0.0,0.0,0.0
77,portuguese,E,E,0.0,0.0,0.0,0.0,1.0,0.0
78,portuguese,C,C,0.018867924528301886,0.0,0.9811320754716981,0.0,0.0,0.0
79,portuguese,B,B,0.0,1.0,0.0,0.0,0.0,0.0
80,portuguese,E,E,0.0,0.0,0.0,0.14150943396226415,0.8584905660377359,0.0
81,portuguese,B,B,0.05660377358490566,0.9433962264150944,0.0,0.0,0.0,0.0
82,portuguese,A,A,1.0,0.0,0.0,0.0,0.0,0.0
83,portuguese,E,E,0.0,0.0,0.12264150943396226,0.0,0.8773584905660378,0.0
84,portuguese,E,E,0.0,0.0,0.0,0.0,1.0,0.0
85,portuguese,D,D,0.018867924528301886,0.0,0.0,0.9811320754716981,0.0,0.0
86,portuguese,A,A,1.0,0.0,0.0,0.0,0.0,0.0
87,portuguese,D,D,0.08490566037735849,0.0,0.0,0.9150943396226415,0.0,0.0
88,portuguese,E,E,0.0,0.0,0.0,0.0,1.0,0.0
89,portuguese,A,A,1.0,0.0,0.0,0.0,0.0,0.0
90,portuguese,B,B,0.02830188679245283,0.9716981132075472,0.0,0.0,0.0,0.0
