questao,idioma,gabarito,resposta,A,B,C,D,E,NA
91,portuguese,D,D,0.009708737864077669,0.0,0.0,0.9902912621359223,0.0,0.0
92,portuguese,D,B,0.2621359223300971,0.4174757281553398,0.04854368932038835,0.24271844660194175,0.02912621359223301,0.0
93,portuguese,E,E,0.009708737864077669,0.0,0.0,0.0,0.9902912621359223,0.0
94,portuguese,C,C,0.11650485436893204,0.0,0.883495145631068,0.0,0.0,0.0
95,portuguese,D,A,0.6407766990291263,0.0,0.14563106796116504,0.21359223300970873,0.0,0.0
96,portuguese,B,A,0.5048543689320388,0.04854368932038835,0.44660194174757284,0.0,0.0,0.0
97,portuguese,E,E,0.0,0.0,0.0,0.0,1.0,0.0
98,portuguese,A,D,0.13592233009708737,0.13592233009708737,0.0970873786407767,0.4854368932038835,0.14563106796116504,0.0
99,portuguese,C,E,0.14563106796116504,0.019417475728155338,0.3106796116504854,0.14563106796116504,0.3592233009708738,0.019417475728155338
100,portuguese,C,C,0.019417475728155338,0.0,0.9805825242718447,0.0,0.0,0.0
101,portuguese,A,A,1.0,0.0,0.0,0.0,0.0,0.0
102,portuguese,E,E,0.3592233009708738,0.0,0.0,0.0,0.6407766990291263,0.0
103,portuguese,B,B,0.02912621359223301,0.970873786407767,0.0,0.0,0.0,0.0
104,portuguese,E,E,0.1262135922330097,0.0,0.0,0.0,0.8737864077669902,0.0
105,portuguese,A,B,0.10679611650485436,0.6796116504854369,0.1941747572815534,0.0,0.019417475728155338,0.0
106,portuguese,E,C,0.3106796116504854,0.08737864077669903,0.4077669902912621,0.05825242718446602,0.11650485436893204,0.019417475728155338
107,portuguese,B,C,0.06796116504854369,0.02912621359223301,0.8446601941747572,0.038834951456310676,0.019417475728155338,0.0
108,portuguese,B,A,0.6504854368932039,0.07766990291262135,0.009708737864077669,0.21359223300970873,0.04854368932038835,0.0
109,portuguese,C,C,0.4854368932038835,0.0,0.5145631067961165,0.0,0.0,0.0
110,portuguese,C,C,0.0,0.0,1.0,0.0,0.0,0.0
111,portuguese,D,C,0.009708737864077669,0.23300970873786409,0.6407766990291263,0.11650485436893204,0.0,0.0
112,portuguese,D,D,0.0,0.0,0.0,1.0,0.0,0.0
113,portuguese,C,C,0.04854368932038835,0.0,0.941747572815534,0.0,0.009708737864077669,0.0
114,portuguese,B,D,0.17475728155339806,0.23300970873786409,0.14563106796116504,0.33980582524271846,0.0970873786407767,0.009708737864077669
115,portuguese,D,A,0.7378640776699029,0.04854368932038835,0.05825242718446602,0.0970873786407767,0.05825242718446602,0.0
116,portuguese,D,D,0.0,0.0,0.0,1.0,0.0,0.0
117,portuguese,A,E,0.39805825242718446,0.08737864077669903,0.0,0.0,0.5145631067961165,0.0
118,portuguese,C,C,0.10679611650485436,0.0,0.7864077669902912,0.0,0.10679611650485436,0.0
119,portuguese,B,C,0.2524271844660194,0.27184466019417475,0.33980582524271846,0.10679611650485436,0.02912621359223301,0.0
120,portuguese,E,E,0.0,0.0,0.0,0.0,1.0,0.0
121,portuguese,A,C,0.2815533980582524,0.10679611650485436,0.30097087378640774,0.0,0.27184466019417475,0.038834951456310676
122,portuguese,C,A,0.4854368932038835,0.0,0.4174757281553398,0.0,0.02912621359223301,0.06796116504854369
123,portuguese,E,A,0.39805825242718446,0.019417475728155338,0.1553398058252427,0.10679611650485436,0.07766990291262135,0.24271844660194175
124,portuguese,A,A,0.9902912621359223,0.0,0.0,0.0,0.0,0.009708737864077669
125,portuguese,B,B,0.2815533980582524,0.6893203883495146,0.019417475728155338,0.009708737864077669,0.0,0.0
126,portuguese,C,A,0.2621359223300971,0.14563106796116504,0.1650485436893204,0.1941747572815534,0.20388349514563106,0.02912621359223301
127,portuguese,E,D,0.009708737864077669,0.0,0.0,0.7669902912621359,0.21359223300970873,0.009708737864077669
128,portuguese,A,NA,0.20388349514563106,0.11650485436893204,0.0,0.18446601941747573,0.13592233009708737,0.3592233009708738
129,portuguese,B,B,0.009708737864077669,0.6601941747572816,0.20388349514563106,0.1262135922330097,0.0,0.0
130,portuguese,E,A,0.5048543689320388,0.0,0.0,0.0,0.49514563106796117,0.0
131,portuguese,D,A,0.3883495145631068,0.13592233009708737,0.34951456310679613,0.04854368932038835,0.07766990291262135,0.0
132,portuguese,A,A,1.0,0.0,0.0,0.0,0.0,0.0
133,portuguese,D,D,0.0,0.0,0.0,1.0,0.0,0.0
134,portuguese,B,A,0.5922330097087378,0.13592233009708737,0.1941747572815534,0.038834951456310676,0.02912621359223301,0.009708737864077669
135,portuguese,A,A,0.7378640776699029,0.0,0.019417475728155338,0.019417475728155338,0.18446601941747573,0.038834951456310676
