questao,idioma,gabarito,resposta,A,B,C,D,E,NA
1,english,B,B,0.0,1.0,0.0,0.0,0.0,0.0
2,english,D,D,0.0,0.0,0.0,1.0,0.0,0.0
3,english,E,E,0.0,0.0,0.0,0.0,1.0,0.0
4,english,C,C,0.009708737864077669,0.0,0.7572815533980582,0.23300970873786409,0.0,0.0
5,english,D,D,0.0,0.0,0.0,1.0,0.0,0.0
1,spanish,A,A,1.0,0.0,0.0,0.0,0.0,0.0
2,spanish,A,A,1.0,0.0,0.0,0.0,0.0,0.0
3,spanish,D,D,0.0,0.0,0.0,1.0,0.0,0.0
4,spanish,C,C,0.05825242718446602,0.0,0.941747572815534,0.0,0.0,0.0
5,spanish,E,E,0.02912621359223301,0.0,0.0,0.0,0.970873786407767,0.0
6,portuguese,C,B,0.02912621359223301,0.7378640776699029,0.23300970873786409,0.0,0.0,0.0
7,portuguese,C,C,0.009708737864077669,0.0,0.9902912621359223,0.0,0.0,0.0
8,portuguese,C,C,0.0,0.4077669902912621,0.5922330097087378,0.0,0.0,0.0
9,portuguese,D,D,0.02912621359223301,0.0,0.0,0.970873786407767,0.0,0.0
10,portuguese,C,C,0.0,0.0,1.0,0.0,0.0,0.0
11,portuguese,C,C,0.019417475728155338,0.0,0.9805825242718447,0.0,0.0,0.0
12,portuguese,E,A,0.9223300970873787,0.019417475728155338,0.05825242718446602,0.0,0.0,0.0
13,portuguese,B,A,0.7281553398058253,0.27184466019417475,0.0,0.0,0.0,0.0
14,portuguese,A,A,1.0,0.0,0.0,0.0,0.0,0.0
15,portuguese,C,C,0.0,0.0,0.9029126213592233,0.0,0.08737864077669903,0.009708737864077669
16,portuguese,B,B,0.0,1.0,0.0,0.0,0.0,0.0
17,portuguese,B,B,0.0,1.0,0.0,0.0,0.0,0.0
18,portuguese,A,E,0.2621359223300971,0.0,0.32038834951456313,0.0,0.39805825242718446,0.019417475728155338
19,portuguese,A,A,1.0,0.0,0.0,0.0,0.0,0.0
20,portuguese,A,A,1.0,0.0,0.0,0.0,0.0,0.0
21,portuguese,E,B,0.04854368932038835,0.9223300970873787,0.02912621359223301,0.0,0.0,0.0
22,portuguese,E,E,0.009708737864077669,0.0,0.0,0.0,0.9902912621359223,0.0
23,portuguese,C,C,0.0,0.0,1.0,0.0,0.0,0.0
24,portuguese,A,A,1.0,0.0,0.0,0.0,0.0,0.0
25,portuguese,B,B,0.019417475728155338,0.9805825242718447,0.0,0.0,0.0,0.0
26,portuguese,A,A,1.0,0.0,0.0,0.0,0.0,0.0
27,portuguese,B,C,0.019417475728155338,0.1262135922330097,0.7961165048543689,0.05825242718446602,0.0,0.0
28,portuguese,E,A,1.0,0.0,0.0,0.0,0.0,0.0
29,portuguese,E,A,0.9223300970873787,0.0,0.07766990291262135,0.0,0.0,0.0
30,portuguese,C,D,0.0,0.0,0.0,1.0,0.0,0.0
31,portuguese,E,E,0.07766990291262135,0.0,0.0,0.0,0.9223300970873787,0.0
32,portuguese,B,B,0.07766990291262135,0.9223300970873787,0.0,0.0,0.0,0.0
33,portuguese,E,E,0.1553398058252427,0.0,0.0,0.0,0.8446601941747572,0.0
34,portuguese,E,A,1.0,0.0,0.0,0.0,0.0,0.0
35,portuguese,D,D,0.038834951456310676,0.0,0.0,0.9611650485436893,0.0,0.0
36,portuguese,C,C,0.04854368932038835,0.0,0.9514563106796117,0.0,0.0,0.0
37,portuguese,A,A,1.0,0.0,0.0,0.0,0.0,0.0
38,portuguese,D,D,0.04854368932038835,0.0,0.0,0.9514563106796117,0.0,0.0
39,portuguese,B,B,0.0,1.0,0.0,0.0,0.0,0.0
40,portuguese,D,D,0.22330097087378642,0.0,0.0,0.7766990291262136,0.0,0.0
41,portuguese,B,B,0.009708737864077669,0.9902912621359223,0.0,0.0,0.0,0.0
42,portuguese,D,D,0.009708737864077669,0.0,0.0,0.9902912621359223,0.0,0.0
43,portuguese,B,B,0.3300970873786408,0.6213592233009708,0.0,0.0,0.04854368932038835,0.0
44,portuguese,A,A,1.0,0.0,0.0,0.0,0.0,0.0
45,portuguese,A,A,1.0,0.0,0.0,0.0,0.0,0.0
