questao,idioma,gabarito,resposta,A,B,C,D,E,NA
1,english,B,B,0.0,1.0,0.0,0.0,0.0,0.0
2,english,D,D,0.0,0.0,0.0,1.0,0.0,0.0
3,english,E,E,0.0,0.0,0.0,0.0,1.0,0.0
4,english,C,C,0.0,0.0,0.660377358490566,0.33962264150943394,0.0,0.0
5,english,D,D,0.009433962264150943,0.0,0.0,0.9905660377358491,0.0,0.0
1,spanish,A,A,1.0,0.0,0.0,0.0,0.0,0.0
2,spanish,A,A,1.0,0.0,0.0,0.0,0.0,0.0
3,spanish,D,D,0.0,0.0,0.0,1.0,0.0,0.0
4,spanish,C,C,0.22641509433962265,0.0,0.7735849056603774,0.0,0.0,0.0
5,spanish,E,E,0.009433962264150943,0.0,0.0,0.018867924528301886,0.9433962264150944,0.02830188679245283
6,portuguese,C,C,0.0,0.1509433962264151,0.8490566037735849,0.0,0.0,0.0
7,portuguese,C,C,0.0,0.0,1.0,0.0,0.0,0.0
8,portuguese,C,C,0.0,0.14150943396226415,0.8490566037735849,0.0,0.0,0.009433962264150943
9,portuguese,D,D,0.018867924528301886,0.0,0.0,0.9811320754716981,0.0,0.0
10,portuguese,C,C,0.0,0.0,1.0,0.0,0.0,0.0
11,portuguese,C,C,0.02830188679245283,0.0,0.9716981132075472,0.0,0.0,0.0
12,portuguese,E,A,0.9245283018867925,0.0,0.0660377358490566,0.0,0.009433962264150943,0.0
13,portuguese,B,A,0.8207547169811321,0.1792452830188679,0.0,0.0,0.0,0.0
14,portuguese,A,A,0.9905660377358491,0.009433962264150943,0.0,0.0,0.0,0.0
15,portuguese,C,C,0.0,0.0,0.8207547169811321,0.0,0.08490566037735849,0.09433962264150944
16,portuguese,B,B,0.0,1.0,0.0,0.0,0.0,0.0
17,portuguese,B,B,0.0,1.0,0.0,0.0,0.0,0.0
18,portuguese,A,A,0.5,0.0,0.14150943396226415,0.0,0.3584905660377358,0.0
19,portuguese,A,A,1.0,0.0,0.0,0.0,0.0,0.0
20,portuguese,A,A,1.0,0.0,0.0,0.0,0.0,0.0
21,portuguese,E,B,0.14150943396226415,0.8490566037735849,0.0,0.0,0.0,0.009433962264150943
22,portuguese,E,E,0.0,0.0,0.0,0.0,1.0,0.0
23,portuguese,C,C,0.0,0.0,1.0,0.0,0.0,0.0
24,portuguese,A,A,1.0,0.0,0.0,0.0,0.0,0.0
