CO_ITEM,TP_ESCOLA,TX_GABARITO,answer_distribution,correct_probability
5961,1,D,[0.18766185 0.20768283 0.16551113 0.29848698 0.13757099 0.00308622],0.2984869832578
5961,2,D,[0.20413554 0.20772332 0.1612208  0.28506047 0.13910772 0.00275214],0.28506047379468896
5961,3,D,[0.21965416 0.16595875 0.13753298 0.35674139 0.11762265 0.00249007],0.3567413859356987
6864,1,D,[0.03264117 0.06762415 0.09462647 0.53534172 0.26591082 0.00385567],0.5353417186717556
6864,2,D,[0.03981632 0.07466609 0.10947322 0.51285745 0.25863482 0.00455211],0.5128574493517639
6864,3,D,[0.02188158 0.05694539 0.10640565 0.51155046 0.29951277 0.00370414],0.5115504618647758
8020,1,E,[0.16410256 0.17435897 0.30769231 0.25128205 0.0974359  0.00512821],0.09743589743589744
8020,2,E,[0.17708333 0.19791667 0.23958333 0.25       0.13541667 0.        ],0.13541666666666666
8020,3,E,[0.25       0.08333333 0.16666667 0.33333333 0.16666667 0.        ],0.16666666666666666
8364,1,A,[0.30671656 0.23068481 0.19009673 0.08311017 0.18535744 0.00403429],0.3067165569004359
8364,2,A,[0.28359844 0.25149102 0.17459501 0.07726119 0.20933595 0.00371839],0.2835984406757072
8364,3,A,[0.35844755 0.16844883 0.25648777 0.08534392 0.12835148 0.00292046],0.35844754707313947
9678,1,E,[0.18125    0.12083333 0.1625     0.22083333 0.3125     0.00208333],0.3125
9678,2,E,[0.18674699 0.14457831 0.20180723 0.20481928 0.25903614 0.00301205],0.25903614457831325
9678,3,E,[0.07142857 0.0952381  0.14285714 0.21428571 0.47619048 0.        ],0.47619047619047616
9716,1,E,[0.2037814  0.11613301 0.30245921 0.07658424 0.29742633 0.00361581],0.2974263267083829
9716,2,E,[0.21955942 0.11049664 0.30877601 0.09199103 0.2651365  0.0040404 ],0.2651365033761049
9716,3,E,[0.21190448 0.10074441 0.29234017 0.06198159 0.3297402  0.00328915],0.3297401978615379
10322,1,C,[0.13049315 0.22918885 0.48904632 0.09511671 0.0530515  0.00310347],0.48904631854467107
10322,2,C,[0.14317696 0.25014359 0.44579376 0.10027971 0.05775158 0.0028544 ],0.44579376110210134
10322,3,C,[0.09377161 0.19306614 0.64376726 0.04381439 0.02369523 0.00188537],0.6437672590900009
10409,1,E,[0.11636097 0.27551026 0.08767584 0.12145277 0.39581292 0.00318724],0.3958129242502523
10409,2,E,[0.13557858 0.27759971 0.08529371 0.13190417 0.3668557  0.00276813],0.3668556958651251
10409,3,E,[0.07745357 0.2893762  0.06696042 0.07949276 0.48446779 0.00224926],0.4844677853208659
10500,1,B,[0.16723301 0.18675543 0.26676086 0.24303875 0.13199754 0.00421441],0.18675542949961496
10500,2,B,[0.16987131 0.18317718 0.25569913 0.25305395 0.13466974 0.00352869],0.18317717654489946
10500,3,B,[0.13958921 0.20452182 0.27066864 0.25242972 0.12830773 0.00448288],0.20452181753907792
10776,1,B,[0.08046937 0.62679002 0.0573364  0.13637291 0.09507779 0.00395351],0.6267900200726317
10776,2,B,[0.10776751 0.56447647 0.07917822 0.14616195 0.09777578 0.00464006],0.5644764738726662
10776,3,B,[0.08583563 0.65762576 0.05514712 0.12047421 0.07672642 0.00419085],0.6576257640109229
10992,1,A,[0.08205128 0.34871795 0.28205128 0.21538462 0.07179487 0.        ],0.08205128205128205
10992,2,A,[0.13541667 0.35416667 0.17708333 0.1875     0.14583333 0.        ],0.13541666666666666
10992,3,A,[0.25       0.41666667 0.         0.16666667 0.16666667 0.        ],0.25
14797,1,D,[0.23328122 0.29692661 0.24364367 0.15995615 0.06109213 0.00510022],0.15995615160938742
14797,2,D,[0.24446011 0.31783759 0.24550752 0.12822136 0.0591961  0.00477732],0.12822135841081206
14797,3,D,[0.20298483 0.26871154 0.26453094 0.19342477 0.06468669 0.00566124],0.19342476701829528
16785,1,D,[0.10208333 0.15208333 0.24375    0.30208333 0.19166667 0.00833333],0.3020833333333333
16785,2,D,[0.15662651 0.23493976 0.1746988  0.30421687 0.12650602 0.00301205],0.3042168674698795
16785,3,D,[0.02380952 0.23809524 0.28571429 0.30952381 0.14285714 0.        ],0.30952380952380953
18228,1,D,[0.1088772  0.31486469 0.14677533 0.30196581 0.12511414 0.00240282],0.30196581340447826
18228,2,D,[0.16671975 0.31054035 0.19571147 0.17104665 0.15348718 0.0024946 ],0.17104665247907508
18228,3,D,[0.06393868 0.35881488 0.11872205 0.28891268 0.16773658 0.00187512],0.28891268373406015
19807,1,E,[0.0654149  0.14201492 0.52467103 0.16275349 0.10218211 0.00296355],0.10218210968830611
19807,2,E,[0.07205822 0.16959014 0.51738957 0.16536717 0.07311762 0.00247728],0.07311762330745009
19807,3,E,[0.05190919 0.12184725 0.56906966 0.14824245 0.10650812 0.00242332],0.10650811785620969
26545,1,C,[0.30418453 0.14089241 0.17163047 0.1403906  0.23943346 0.00346853],0.17163047000256695
26545,2,C,[0.29412423 0.16903578 0.12092012 0.16378806 0.24801545 0.00411636],0.12092012350400642
26545,3,C,[0.25216331 0.09688658 0.24722958 0.15543556 0.24535958 0.0029254 ],0.24722957983882124
28034,1,A,[0.30986021 0.29966819 0.14315532 0.1247796  0.12023906 0.00229762],0.3098602069543043
28034,2,A,[0.28727075 0.32860354 0.14621792 0.1269594  0.10874296 0.00220543],0.28727074535494074
28034,3,A,[0.37376977 0.32603606 0.10183055 0.09191698 0.10464836 0.00179828],0.37376976950309193
28632,1,C,[0.20134596 0.21441211 0.18823563 0.21950917 0.17393546 0.00256168],0.18823562829020735
28632,2,C,[0.22875826 0.22040561 0.15716911 0.22456728 0.1665132  0.00258655],0.15716910907344012
28632,3,C,[0.15441602 0.269229   0.20972708 0.19357334 0.17066198 0.00239258],0.20972708223396025
28683,1,A,[0.29103002 0.25573774 0.17322113 0.20461881 0.07151454 0.00387776],0.29103001636950476
28683,2,A,[0.24140183 0.2597955  0.18909519 0.22471919 0.0815942  0.00339409],0.24140182644142422
28683,3,A,[0.26874741 0.29935395 0.13616173 0.22291956 0.06943598 0.00338137],0.2687474063334136
30053,1,C,[0.10650172 0.23103936 0.31707815 0.21624263 0.12609463 0.00304351],0.3170781486048048
30053,2,C,[0.10547013 0.24447477 0.28544244 0.2375933  0.12441416 0.0026052 ],0.28544243831129457
30053,3,C,[0.08096338 0.21254489 0.384708   0.21007034 0.10901341 0.00269997],0.3847079979711764
30327,1,D,[0.18573497 0.06206209 0.10683206 0.58340031 0.05904278 0.00292778],0.5834003122409389
30327,2,D,[0.26288443 0.0796966  0.11631338 0.47538249 0.06309791 0.00262519],0.47538248529825256
30327,3,D,[0.10427949 0.03397767 0.07294031 0.74620236 0.04099146 0.00160871],0.7462023597883056
30493,1,D,[0.19717994 0.14972626 0.16846388 0.30007848 0.18153423 0.00301721],0.3000784810446185
30493,2,D,[0.16080307 0.15399889 0.16932895 0.28095429 0.23208306 0.00283174],0.2809542909913235
30493,3,D,[0.22720775 0.13047488 0.10814245 0.40916659 0.12283093 0.0021774 ],0.40916659408669637
31313,1,D,[0.32324407 0.05978972 0.21881378 0.29064603 0.10528137 0.00222503],0.2906460273442267
31313,2,D,[0.34407619 0.09204033 0.18246558 0.25719429 0.12192756 0.00229604],0.25719429493577606
