questao,idioma,gabarito,resposta,A,B,C,D,E,NA
136,portuguese,B,B,0.1262135922330097,0.5728155339805825,0.038834951456310676,0.21359223300970873,0.04854368932038835,0.0
137,portuguese,E,B,0.17475728155339806,0.42718446601941745,0.06796116504854369,0.24271844660194175,0.07766990291262135,0.009708737864077669
138,portuguese,E,E,0.0,0.0,0.0,0.2912621359223301,0.7087378640776699,0.0
139,portuguese,D,D,0.04854368932038835,0.0,0.1650485436893204,0.5048543689320388,0.06796116504854369,0.21359223300970873
140,portuguese,A,D,0.2912621359223301,0.0,0.18446601941747573,0.5242718446601942,0.0,0.0
141,portuguese,E,C,0.06796116504854369,0.1553398058252427,0.42718446601941745,0.34951456310679613,0.0,0.0
142,portuguese,A,D,0.18446601941747573,0.21359223300970873,0.11650485436893204,0.39805825242718446,0.08737864077669903,0.0
143,portuguese,B,D,0.30097087378640774,0.038834951456310676,0.08737864077669903,0.5728155339805825,0.0,0.0
144,portuguese,D,D,0.009708737864077669,0.0,0.17475728155339806,0.7281553398058253,0.08737864077669903,0.0
145,portuguese,D,D,0.0970873786407767,0.13592233009708737,0.32038834951456313,0.3300970873786408,0.11650485436893204,0.0
146,portuguese,C,B,0.20388349514563106,0.34951456310679613,0.2912621359223301,0.0970873786407767,0.019417475728155338,0.038834951456310676
147,portuguese,E,D,0.1941747572815534,0.1941747572815534,0.019417475728155338,0.5922330097087378,0.0,0.0
148,portuguese,B,D,0.14563106796116504,0.06796116504854369,0.21359223300970873,0.47572815533980584,0.0970873786407767,0.0
149,portuguese,D,A,0.4077669902912621,0.2621359223300971,0.1262135922330097,0.1650485436893204,0.038834951456310676,0.0
150,portuguese,B,A,0.941747572815534,0.05825242718446602,0.0,0.0,0.0,0.0
151,portuguese,A,C,0.05825242718446602,0.30097087378640774,0.3883495145631068,0.1941747572815534,0.05825242718446602,0.0
152,portuguese,A,C,0.14563106796116504,0.2815533980582524,0.4174757281553398,0.019417475728155338,0.08737864077669903,0.04854368932038835
153,portuguese,A,D,0.05825242718446602,0.0,0.009708737864077669,0.6893203883495146,0.18446601941747573,0.05825242718446602
154,portuguese,A,A,0.6213592233009708,0.3592233009708738,0.0,0.0,0.0,0.019417475728155338
155,portuguese,A,C,0.08737864077669903,0.02912621359223301,0.7184466019417476,0.10679611650485436,0.019417475728155338,0.038834951456310676
156,portuguese,C,C,0.1553398058252427,0.1650485436893204,0.5145631067961165,0.06796116504854369,0.07766990291262135,0.019417475728155338
157,portuguese,anulada,D,0.11650485436893204,0.0,0.0,0.7669902912621359,0.0970873786407767,0.019417475728155338
158,portuguese,C,D,0.14563106796116504,0.0,0.009708737864077669,0.8446601941747572,0.0,0.0
159,portuguese,B,A,0.6699029126213593,0.20388349514563106,0.05825242718446602,0.019417475728155338,0.038834951456310676,0.009708737864077669
160,portuguese,C,C,0.0970873786407767,0.05825242718446602,0.47572815533980584,0.24271844660194175,0.1262135922330097,0.0
161,portuguese,C,C,0.3883495145631068,0.1262135922330097,0.44660194174757284,0.019417475728155338,0.0,0.019417475728155338
162,portuguese,C,B,0.0,0.6019417475728155,0.10679611650485436,0.27184466019417475,0.009708737864077669,0.009708737864077669
163,portuguese,B,B,0.2912621359223301,0.46601941747572817,0.20388349514563106,0.0,0.02912621359223301,0.009708737864077669
164,portuguese,C,D,0.22330097087378642,0.02912621359223301,0.1553398058252427,0.5436893203883495,0.0,0.04854368932038835
165,portuguese,C,A,0.2912621359223301,0.20388349514563106,0.2912621359223301,0.10679611650485436,0.07766990291262135,0.02912621359223301
166,portuguese,D,C,0.019417475728155338,0.1262135922330097,0.3106796116504854,0.17475728155339806,0.1941747572815534,0.17475728155339806
167,portuguese,B,C,0.02912621359223301,0.2524271844660194,0.4854368932038835,0.0970873786407767,0.04854368932038835,0.08737864077669903
168,portuguese,D,E,0.18446601941747573,0.02912621359223301,0.27184466019417475,0.21359223300970873,0.30097087378640774,0.0
169,portuguese,E,C,0.1553398058252427,0.06796116504854369,0.4368932038834951,0.23300970873786409,0.08737864077669903,0.019417475728155338
170,portuguese,E,D,0.1553398058252427,0.10679611650485436,0.20388349514563106,0.5242718446601942,0.0,0.009708737864077669
171,portuguese,C,C,0.08737864077669903,0.0,0.49514563106796117,0.3300970873786408,0.05825242718446602,0.02912621359223301
172,portuguese,B,C,0.18446601941747573,0.1262135922330097,0.3106796116504854,0.20388349514563106,0.17475728155339806,0.0
173,portuguese,D,D,0.08737864077669903,0.2912621359223301,0.02912621359223301,0.5242718446601942,0.06796116504854369,0.0
174,portuguese,C,D,0.0,0.0970873786407767,0.2524271844660194,0.5922330097087378,0.019417475728155338,0.038834951456310676
175,portuguese,A,A,0.4563106796116505,0.21359223300970873,0.04854368932038835,0.14563106796116504,0.07766990291262135,0.05825242718446602
176,portuguese,B,B,0.17475728155339806,0.42718446601941745,0.32038834951456313,0.05825242718446602,0.0,0.019417475728155338
177,portuguese,E,A,0.5339805825242718,0.019417475728155338,0.22330097087378642,0.07766990291262135,0.038834951456310676,0.10679611650485436
178,portuguese,E,C,0.07766990291262135,0.1553398058252427,0.6019417475728155,0.0970873786407767,0.06796116504854369,0.0
179,portuguese,C,A,0.47572815533980584,0.21359223300970873,0.08737864077669903,0.04854368932038835,0.05825242718446602,0.11650485436893204
180,portuguese,D,C,0.009708737864077669,0.08737864077669903,0.6116504854368932,0.22330097087378642,0.02912621359223301,0.038834951456310676
