questao,idioma,gabarito,resposta,A,B,C,D,E,NA
91,portuguese,D,D,0.02830188679245283,0.0,0.0,0.9716981132075472,0.0,0.0
92,portuguese,D,B,0.3867924528301887,0.4528301886792453,0.04716981132075472,0.05660377358490566,0.0,0.05660377358490566
93,portuguese,E,E,0.08490566037735849,0.0,0.0,0.0,0.9150943396226415,0.0
94,portuguese,C,C,0.16981132075471697,0.0,0.8301886792452831,0.0,0.0,0.0
95,portuguese,D,A,0.5,0.0,0.018867924528301886,0.4811320754716981,0.0,0.0
96,portuguese,B,A,0.839622641509434,0.018867924528301886,0.14150943396226415,0.0,0.0,0.0
97,portuguese,E,E,0.018867924528301886,0.0,0.0,0.0,0.9811320754716981,0.0
98,portuguese,A,E,0.14150943396226415,0.05660377358490566,0.02830188679245283,0.29245283018867924,0.4811320754716981,0.0
99,portuguese,C,D,0.12264150943396226,0.0,0.20754716981132076,0.4811320754716981,0.1792452830188679,0.009433962264150943
100,portuguese,C,C,0.08490566037735849,0.0,0.8773584905660378,0.0,0.03773584905660377,0.0
101,portuguese,A,A,1.0,0.0,0.0,0.0,0.0,0.0
102,portuguese,E,A,0.7641509433962265,0.0,0.0,0.0,0.2358490566037736,0.0
103,portuguese,B,B,0.04716981132075472,0.9528301886792453,0.0,0.0,0.0,0.0
104,portuguese,E,E,0.33962264150943394,0.0,0.0,0.0,0.660377358490566,0.0
105,portuguese,A,B,0.14150943396226415,0.4716981132075472,0.2830188679245283,0.02830188679245283,0.05660377358490566,0.018867924528301886
106,portuguese,E,C,0.25471698113207547,0.2169811320754717,0.36792452830188677,0.009433962264150943,0.1320754716981132,0.018867924528301886
107,portuguese,B,C,0.12264150943396226,0.05660377358490566,0.7075471698113207,0.07547169811320754,0.03773584905660377,0.0
108,portuguese,B,A,0.7358490566037735,0.03773584905660377,0.04716981132075472,0.11320754716981132,0.02830188679245283,0.03773584905660377
109,portuguese,C,A,0.5471698113207547,0.0,0.4528301886792453,0.0,0.0,0.0
110,portuguese,C,C,0.0,0.0,1.0,0.0,0.0,0.0
111,portuguese,D,C,0.0,0.0,0.9150943396226415,0.08490566037735849,0.0,0.0
112,portuguese,D,D,0.05660377358490566,0.0,0.0,0.9433962264150944,0.0,0.0
113,portuguese,C,C,0.04716981132075472,0.0,0.9528301886792453,0.0,0.0,0.0
114,portuguese,B,D,0.12264150943396226,0.27358490566037735,0.19811320754716982,0.36792452830188677,0.009433962264150943,0.02830188679245283
115,portuguese,D,A,0.5849056603773585,0.018867924528301886,0.0660377358490566,0.2169811320754717,0.11320754716981132,0.0
116,portuguese,D,D,0.10377358490566038,0.0,0.0,0.8962264150943396,0.0,0.0
117,portuguese,A,A,0.6132075471698113,0.04716981132075472,0.0,0.0,0.32075471698113206,0.018867924528301886
118,portuguese,C,C,0.1792452830188679,0.0,0.6886792452830188,0.03773584905660377,0.09433962264150944,0.0
119,portuguese,B,D,0.18867924528301888,0.2169811320754717,0.1792452830188679,0.37735849056603776,0.0,0.03773584905660377
120,portuguese,E,E,0.02830188679245283,0.0,0.0,0.0,0.9716981132075472,0.0
121,portuguese,A,A,0.5094339622641509,0.10377358490566038,0.04716981132075472,0.0,0.330188679245283,0.009433962264150943
122,portuguese,C,A,0.6792452830188679,0.0,0.2169811320754717,0.009433962264150943,0.0,0.09433962264150944
123,portuguese,E,NA,0.25471698113207547,0.0660377358490566,0.10377358490566038,0.018867924528301886,0.14150943396226415,0.41509433962264153
124,portuguese,A,A,1.0,0.0,0.0,0.0,0.0,0.0
125,portuguese,B,B,0.32075471698113206,0.5283018867924528,0.0,0.10377358490566038,0.009433962264150943,0.03773584905660377
126,portuguese,C,A,0.3018867924528302,0.03773584905660377,0.2641509433962264,0.22641509433962265,0.16981132075471697,0.0
127,portuguese,E,D,0.10377358490566038,0.0,0.0,0.6132075471698113,0.24528301886792453,0.03773584905660377
128,portuguese,A,A,0.39622641509433965,0.1509433962264151,0.0,0.0660377358490566,0.04716981132075472,0.33962264150943394
129,portuguese,B,B,0.1320754716981132,0.6886792452830188,0.08490566037735849,0.09433962264150944,0.0,0.0
130,portuguese,E,A,0.9056603773584906,0.0,0.0,0.0,0.09433962264150944,0.0
131,portuguese,D,A,0.46226415094339623,0.27358490566037735,0.18867924528301888,0.05660377358490566,0.018867924528301886,0.0
132,portuguese,A,A,0.9716981132075472,0.0,0.0,0.0,0.02830188679245283,0.0
133,portuguese,D,D,0.018867924528301886,0.0,0.0,0.9811320754716981,0.0,0.0
134,portuguese,B,A,0.6320754716981132,0.18867924528301888,0.05660377358490566,0.07547169811320754,0.02830188679245283,0.018867924528301886
135,portuguese,A,A,0.7641509433962265,0.0,0.0,0.0,0.2169811320754717,0.018867924528301886
