question,body,A,B,C,D,E
QUESTÃO 136,"Uma pessoa comprou um ingresso para o cinema em cuja entrada está afixado um mapa com a representação bidimensional do posicionamento das poltronas, conforme a figura. Essa pessoa, após consultar o mapa, começou a subir uma das escadas e parou na posição indicada pel a estrela, direcionada para o norte. Ela conferiu seu bilhete e observou que, para encontrar sua poltrona, deveria partir do ponto onde estava, continuar subindo a escada na direção norte por mais quatro fileiras e olhar à sua direita, e sua poltrona será a terceira.  Descrição do mapa: Mapa de uma sala de cinema.  No mapa, há uma rosa dos ventos que indica o oeste à esquerda, o norte para cima, o leste à direita e o sul para baixo. À frente das poltronas está localizada a tela; as poltronas estão posicionadas em colunas, numeradas de 1 a 12 e em filas nomeadas de A a J.  As colunas das poltronas estão posicionadas, da esquerda para a direita, da seguinte maneira: 1, 2 e 3; escada; 4, 5, 6, 7, 8 e 9; escada; 10, 11 e 12. As filas estão nomeadas, de baixo para cima, da seguinte maneira: A, B, C, D, E, F, G, H, I e J.  A entrada está localizada à esquerda da tela e a estrela está localizada na escada que se encontra entre as colunas 3 e 4 na altura da fila E. (Fim da descrição)   Nesse cinema, as poltronas são identificadas por uma letra, que indica a fileira, e um número, que fornece a posição da poltrona na fileira, respectivamente.  A poltrona dessa pessoa é a identificada por",A6.,H1.,H6.,I1.,I6.
QUESTÃO 137,"O metrô de um município oferece dois tipos de tíquetes com colorações diferentes, azul e vermelha, sendo vendidos em cartelas, cada qual com nove tíquetes da mesma cor e mesmo valor unitário. Duas cartelas de tíquetes azuis e uma cartela de tíquetes vermel hos são vendidas por 32,40 reais . Sabe-se que o preço de um tíquete azul menos o preço de um tíquete vermelho é igual ao preço de um tíquete vermelho mais cinco centavos.  Qual o preço, em real, de uma cartela de tíquetes vermelhos?","4,68","6,30","9,30","10,50","10,65"
QUESTÃO 138,"O gráfico expõe alguns números da gripe A-H1N1. Entre as categorias que estão em processo de imunização, uma já está completamente imunizada, a dos trabalhadores da saúde.  Descrição do gráfico: Gráfico de barras que associam categorias em processo de imunização com a porcentagem de pessoas já imunizadas na categoria.  Trabalhadores da saúde: 100 por cento.  Crianças de 6 meses a 2 anos: entre 80 e 90 por cento.  Indígenas: entre 60 e 70 por cento.  Doentes crônicos: entre 55 e 60 por cento.  Gestantes: entre 50 e 55 por cento.  Adultos entre 20 e 29 anos: entre 40 e 50 por cento.  (Fim da descrição)   De acordo com o gráfico, entre as demais categorias, a que está mais exposta ao vírus da gripe A-H1N1 é a categoria de",indígenas.,gestantes.,doentes crônicos.,adultos entre 20 e 29 anos.,crianças de 6 meses a 2 anos.
QUESTÃO 139,"A figura representa uma escada com três degraus, construída em concreto maciço, com suas medidas especificadas.  Descrição da figura: Figura de uma escada com três degraus, localizada em frente a uma porta. Cada degrau tem piso e espelho em forma de retângulo e suas laterais são retangulares. O piso de cada degrau mede 1,0 metro por 0,25 metro, e o espelho de cada degrau mede 1,0 metro por 0,20 metro. Cada uma das paredes laterais da escada é formada por três retângulos justapostos: o primeiro mede 0,25 metro por 0,20 metro; o segundo mede 0,25 metro por 0,40 metro e o terceiro mede 0,25 metro por 0,60 metro. (Fim da descrição)   Nessa escada, pisos e espelhos têm formato retangular, e as paredes laterais têm formato de um polígono cujos lados adjacentes são perpendiculares. Pisos, espelhos e paredes laterais serão revestidos em cerâmica.  A área a ser revestida em cerâmica, em metro quadrado, mede","1,20.","1,35.","1,65.","1,80.","1,95."
QUESTÃO 140,"Um supermercado conta com cinco caixas disponíveis para pagamento. Foram instaladas telas que apresentam o tempo médio gasto por cada caixa para iniciar e finalizar o atendimento de cada cliente, e o número de pessoas presentes na fila de cada caixa em tempo real. Um cliente, na hora de passar sua compra, sabendo que cada um dos cinco caixas iniciará um novo atendimento naquele momento, pretende gastar o menor tempo possível de espera na f ila. Ele observa que as telas apresentavam as informações a seguir.  • Caixa 1: atendimento 12 minutos, 5 pessoas na fila.  • Caixa 2: atendimento 6 minutos, 9 pessoas na fila.  • Caixa 3: atendimento 5 minutos, 6 pessoas na fila.  • Caixa 4: atendimento 15 minutos, 2 pessoas na fila.  • Caixa 5: atendimento 9 minutos, 3 pessoas na fila.  Para alcançar seu objetivo, o cliente deverá escolher o caixa",1,2,3,4,5
QUESTÃO 141,"As figuras pintadas no quadro da sala de estar de uma residência representam as silhuetas de parte das torres de um castelo e, ao fundo, a de uma lua cheia. A lua foi pintada na forma de um círculo, e o telhado da torre mais alta, na forma de triângulo equilátero, foi pintado sobrepondo parte da lua. O centro da lua coincide com um dos vértices do telha do da torre mais alta.  Descrição do quadro: Quadro com três figuras que representam as silhuetas de parte de três torres de um castelo em frente à lua cheia. As torres têm a forma de um retângulo com um triângulo equilátero no topo. O triângulo que repres enta o telhado da torre mais alta está sobreposto ao círculo, tem um vértice coincidente com o centro do círculo e o lado oposto a esse vértice é um segmento de reta externo ao círculo. (Fim da descrição)   Nesse quadro, a parte da lua escondida atrás da torre mais alta do castelo pode ser representada por um",cone.,setor circular.,segmento circular.,triângulo isósceles.,arco de circunferência.
QUESTÃO 142,"Na planta baixa de um clube, a piscina é representada por um quadrado cuja área real mede 400 metros quadrados . Ao redor dessa piscina, será construída uma calçada, de largura constante igual a 5 metros .  Descrição da figura: Figura de um quadrado representando uma piscina, emoldurado por uma faixa de largura constante igual a 5 metros, represen tando a calçada. (Fim da descrição)   Qual é a medida da área, em metro quadrado, ocupada pela calçada?",1000,900,600,500,400
QUESTÃO 143,"Uma pessoa caminha por 30 minutos e utiliza um aplicativo instalado em seu celular para monitorar a variação da inte nsidade do sinal de internet recebido pelo aparelho durante o deslocamento. Chegando ao seu destino, o aplicativo forneceu este gráfico:  Descrição do gráfico: Gráfico cartesiano sobre uma malha quadriculada, em que o eixo horizontal representa o tempo, em minuto, graduado de 0 a 30, de 2 em 2 unidades; e o eixo vertical representa a intensidade do sinal de internet.  Os segmentos de reta que formam o gráfico são:  Segmento 1: une os pontos (0; 5) a (2; 5);  Segmento 2: une os pontos (2; 5) a (6; 2); Segmento 3: une os pontos (6; 2) a (8; 2); Segmento 4: une os pontos (8; 2) a (10; 0); Segmento 5: une os pontos (10; 0) a (12; 0); Segmento 6: une os pontos (12; 0) a (14; 4); Segmento 7: une os pontos (14; 4) a (16; 0); Segmento 8: une os pontos (16; 0) a (20; 0); Segmento 9: une os pontos (20; 0) a (22; 3); Segmento 10: une os pontos (22; 3) a (24; 3); Segmento 11: une os pontos (24; 3) a (26; 2); Segmento 12: une os pontos (26; 2) a (28; 5); Segmento 13: une os pontos (28; 5) a (30; 5). (Fim da descrição)   Por quantos minutos, durante essa caminhada, o celular dessa pessoa ficou sem receber sinal de internet?",6,8,10,14,24
QUESTÃO 144,"Uma loja vende seus produtos de duas formas: à vista ou financiado em três parcelas mensais iguais. Para definir o valor dessas parcelas nas vendas financiadas, a loja aumenta em 20 por cento o valor do produto à vista e divide esse novo valor por 3. A primeira parcela deve ser paga no ato da compra, e as duas últimas, em 30 e 60 dias após a compra.  Um cliente da loja decidiu comprar, de forma financiada, um produto cujo valor à vista é 1500 reais. Utilize 5,29 como aproximação para raiz quadrada de 28 .  A taxa mensal de juros compostos praticada nesse financiamento é de","6,7 por cento",10 por cento,20 por cento,"21,5 por cento","23,3 por cento"
QUESTÃO 145,"Para concretar a laje de sua residência, uma pessoa contratou uma construtora. Tal empresa informa que o preço y do concreto bombeado é composto de duas partes: uma fixa, chamada de taxa de bombeamento, e uma variável, que depende do volume x de concreto utilizado. Sabe-se que a taxa de bombeamento custa 500 reais e que o metro cúbico do concreto bombeado é de 250 reais .  A expressão que representa o preço y em função do volume x, em metro cúbico, é",y é igual a 250 vezes x,y é igual a 500 vezes x,y é igual a 750 vezes x,y é igual a 250 vezes x mais 500,y é igual a 500 vezes x mais 250
